me,mypoint,mypower,mypaper,enpoint,enpower,paper,c1,c2,c3,c4,c5,l1,l2,l3,l4,l5,win
홀바펌목퓨,2180,589336,11,2169,698205,10,,바,블,퓨,,,2,5,2,,1
홀바펌목퓨,2190,589336,11,2191,577013,9,홀,바,,목,,1,2,,3,,1
홀바펌목퓨,2190,589486,11,2323,725411,9,홀,바,서,,,1,2,0,,,0
홀바펌목퓨,2196,589486,11,2126,672429,8,,바,떼,,뱀,,3,3,,5,1
홀바펌목퓨,2204,589486,11,2302,570365,7,홀,바,,목,,2,2,,2,,0
홀샤바펌퓨,2199,687216,11,2151,663901,9,,샤,바,,퓨,,5,2,,3,0
홀샤바펌퓨,2192,687216,11,2192,759479,8,딸,바,,,퓨,5,3,,,3,1
홀바펌목퓨,2202,589486,11,2192,675121,8,홀,샤,바,,,0,5,3,,,1
홀샤바펌퓨,2212,687216,11,2213,730221,10,딸,바,서,,,5,3,1,,,1
홀샤바펌퓨,2222,687216,11,2213,729261,12,,샤,바,,퓨,,5,3,,3,0
홀바펌목퓨,2222,589486,11,2217,573891,6,홀,바,,,퓨,0,3,,,2,0
홀샤바펌퓨,2215,687216,11,2033,711105,9,,샤,바,,퓨,,5,2,,1,1
홀샤바펌퓨,2220,687216,11,2219,756380,8,,바,블,,퓨,,2,5,,1,1
홀샤바펌퓨,2228,687216,11,2228,609905,8,홀,바,펌,,,1,2,5,,,0
홀샤바펌퓨,2228,687216,11,2230,574058,6,홀,바,,,퓨,0,3,,,2,1
홀샤바펌퓨,2232,687216,11,2232,701003,8,홀,바,,펌,,1,2,,3,,0
홀샤바펌퓨,2234,687216,11,2231,605827,9,딸,바,,,퓨,5,3,,,2,0
홀샤바펌퓨,2227,687216,11,2177,566117,11,,바,펌,목,,,1,4,3,,1
홀샤바펌퓨,2236,687216,11,2310,594191,8,홀,바,펌,,,1,3,4,,,0
홀샤바펌퓨,2231,687216,11,2231,640139,6,,,바,펌,퓨,,,2,5,1,1
홀샤바펌퓨,2241,687216,11,2231,710123,10,,샤,바,,퓨,,5,2,,1,1
홀샤바펌퓨,2252,687216,11,2247,586699,8,홀,바,,목,,1,2,,1,,1
홀샤바펌퓨,2262,687216,11,2248,671514,8,,,바,블,퓨,,,3,5,3,0
홀샤바펌퓨,2255,687216,11,2255,711893,7,,바,펌,,퓨,,2,2,,1,1
홀샤바펌퓨,2265,687216,11,2255,678325,11,홀,샤,바,펌,퓨,1,5,2,4,3,0
홀샤바펌퓨,2258,687216,11,2224,733032,9,딸,바,,,퓨,5,2,,,2,0
홀샤바펌퓨,2251,687216,11,2032,575809,8,홀,샤,,,파,3,5,,,2,1
홀샤바펌퓨,2259,687216,11,2256,594623,9,홀,바,서,,,0,3,0,,,1
홀샤바펌퓨,2269,687216,11,1923,712865,8,,바,블,허,뱀,,2,5,5,5,1
홀샤바펌퓨,2266,687216,11,2052,579766,6,,샤,바,퓨,,,3,1,2,,1
홀샤바펌퓨,2269,687216,11,2269,789255,7,홀,바,,,퓨,2,3,,,1,0
홀샤바펌퓨,2263,687216,11,2041,688116,7,홀,샤,바,,,1,5,3,,,1
용바블퓨정,2272,677699,11,2004,597655,4,홀,딸,,,퓨,2,5,,,1,1
용바블퓨정,2276,677699,11,2272,560866,10,홀,바,펌,,,2,3,4,,,1
홀바펌목퓨,2301,590572,11,2297,724269,11,홀,,바,,퓨,2,,3,,3,1
홀바펌목퓨,2321,590572,11,2489,698148,11,홀,바,,목,,2,3,,3,,0
홀바펌목퓨,2317,590572,11,2026,523065,6,,딸,,펌,퓨,,3,,2,1,1
홀바펌목퓨,2321,590572,11,2317,564509,9,딸,바,,,퓨,5,2,,,2,1
홀바펌목퓨,2331,590572,11,2114,664800,12,홀,바,펌,목,퓨,1,3,4,2,3,1
홀바펌목퓨,2345,590572,11,2342,667094,10,딸,바,펌,,,5,3,3,,,1
홀바펌목퓨,2355,590572,11,2068,626340,4,홀,바,,,파,1,2,,,4,0
홀바펌목퓨,2344,590572,11,2342,725406,11,,바,,펌,퓨,,2,,3,2,0
홀바펌목퓨,2344,590572,11,2342,725406,11,,바,,펌,퓨,,2,,3,2,1
홀바펌목퓨,2335,590572,11,2437,626327,10,홀,바,,목,,1,4,,4,,0
홀바펌목퓨,2330,590572,11,2169,707180,9,홀,,바,,퓨,1,,3,,2,1
홀바펌목퓨,2338,590572,11,2052,653145,12,,딸,,바,퓨,,4,,3,2,1
홀바펌목퓨,2351,590572,11,2168,751692,7,홀,샤,바,,,2,5,2,,,0
홀바펌목퓨,2344,590572,11,2344,768292,8,,바,펌,,퓨,,2,5,,2,0
홀샤바펌퓨,2331,687216,11,2073,607361,6,딸,샤,바,,,5,5,2,,,1
홀샤바펌퓨,2335,687216,11,2331,673993,10,홀,바,,목,,3,3,,4,,0
홀샤바펌퓨,2332,687216,11,2060,638892,4,홀,샤,바,,,1,5,1,,,1
홀샤바펌퓨,2336,687216,11,2331,717844,9,홀,,바,,퓨,2,,3,,2,0
홀샤바펌퓨,2329,687216,11,2332,753312,8,,샤,바,,퓨,,5,3,,3,0
홀샤바펌퓨,2325,687216,11,2067,574699,7,,샤,바,,퓨,,4,3,,2,1
홀샤바펌퓨,2328,687216,11,2329,773458,8,,바,펌,,퓨,,3,4,,2,1
홀샤바펌퓨,2338,687216,11,2329,611558,7,,바,펌,,퓨,,3,4,,1,0
홀바펌목퓨,2331,593568,11,2331,642519,9,,바,펌,,퓨,,3,4,,2,1
홀바펌목퓨,2344,593568,11,2334,728361,8,,샤,바,,퓨,,5,2,,2,0
홀바펌목퓨,2337,593568,11,2057,689346,11,,샤,바,,퓨,,4,3,,2,1
홀바펌목퓨,2341,593568,11,2039,678183,0,홀,바,,,퓨,1,3,,,1,1
홀바펌목퓨,2344,593568,11,2337,705691,7,샤,,,목,퓨,5,,,2,2,1
홀바펌목퓨,2345,593568,11,2047,587599,10,,딸,바,,퓨,,5,2,,3,1
홀바펌목퓨,2348,593568,11,2067,738005,9,홀,,바,펌,퓨,1,,2,4,2,1
홀바펌목퓨,2352,593568,11,2327,617323,9,홀,,바,,퓨,1,,3,,3,1
홀바펌목퓨,2361,593568,11,2345,662282,10,,샤,,펌,퓨,,5,,4,2,1
홀바펌목퓨,2371,593568,11,2040,724629,8,딸,바,,,퓨,5,2,,,3,1
홀바펌목퓨,2374,593568,11,2102,633228,7,,샤,바,퓨,,,3,2,2,,1
홀바펌목퓨,2378,593568,11,2372,604393,10,홀,바,펌,,,1,2,4,,,1
홀바펌목퓨,2383,593568,11,2388,633812,6,홀,샤,바,,,2,5,2,,,1
홀바펌목퓨,2411,593984,11,2081,524986,5,홀,바,,,퓨,1,2,,,2,1
홀바펌목퓨,2414,593984,11,2006,520945,5,,달,바,정,,,3,2,4,,1
홀바펌목퓨,2416,593984,11,2411,720579,5,바,,펌,목,,3,,4,2,,0
홀샤바펌퓨,2411,687690,11,2416,676114,9,,샤,바,,퓨,,5,3,,2,1
홀샤바펌퓨,2444,687690,11,2453,598560,9,홀,바,,,퓨,1,3,,,2,0
홀샤바펌퓨,2442,687690,11,2440,483874,8,딸,바,,,퓨,5,2,,,2,1
홀샤바펌퓨,2452,687690,11,2032,647415,9,,,바,펌,퓨,,,2,4,2,1
홀바펌목퓨,2454,593984,11,2452,634107,7,,,펌,목,파,,,4,4,4,0
홀바펌목퓨,2447,593984,11,2143,582741,6,,딸,,블,퓨,,4,,4,3,1
홀샤바펌퓨,2449,687690,11,2447,674847,10,,딸,바,,퓨,,5,2,,2,0
홀샤바펌퓨,2442,687690,11,2265,678626,7,홀,바,서,목,파,1,3,1,2,5,0
홀샤바펌퓨,2441,687690,11,2153,552666,8,홀,,,바,퓨,1,,,3,2,1
홀샤바펌퓨,2445,687690,11,2130,659584,6,홀,,바,퓨,,2,,2,2,,1
홀샤바펌퓨,2446,687690,11,2047,614806,5,홀,,바,,퓨,0,,2,,1,1
홀샤바펌퓨,2451,687690,11,2449,586215,9,딸,바,,,퓨,5,3,,,2,0
홀바펌목퓨,2444,593984,11,2068,532225,4,홀,바,,,퓨,1,2,,,1,1
용바블퓨정,2446,677699,11,2335,670128,7,용,,,퓨,정,5,,,1,5,0
홀바펌목퓨,2438,593984,11,2275,661339,8,딸,바,,,퓨,5,3,,,3,1
홀바펌목퓨,2444,593984,11,2187,702905,5,딸,,,펌,퓨,5,,,3,3,1
홀샤바펌퓨,2448,687690,11,2060,708305,4,홀,,바,,퓨,2,,2,,1,1
홀샤바펌퓨,2452,687690,11,2080,649438,4,홀,딸,샤,바,퓨,1,5,5,2,2,1
홀샤바펌퓨,2455,687690,11,2042,488352,4,딸,,목,퓨,,1,,2,1,,1
홀샤바펌퓨,2457,687690,11,2090,701212,8,용,샤,바,퓨,,5,5,3,2,,1
홀샤바펌퓨,2462,687690,11,2044,648147,5,딸,바,퓨,,아,5,1,2,,4,1
홀샤바펌퓨,2466,687690,11,2094,600682,7,홀,바,,목,,2,2,,2,,0
홀샤바펌퓨,2454,687690,11,2056,740924,9,딸,,블,감,퓨,5,,5,5,0,1
홀샤바펌퓨,2464,687690,11,2462,705308,12,홀,,바,,퓨,1,,3,,2,0
홀샤바펌퓨,2457,687690,11,2121,636526,9,,바,블,퓨,정,,2,5,2,5,1
홀샤바펌퓨,2472,687690,11,2163,708618,8,홀,,바,,퓨,0,,2,,2,1
홀샤바펌퓨,2475,687690,11,2163,671811,11,딸,바,,,퓨,5,3,,,2,0
홀샤바펌퓨,1374,688041,11,1367,782025,10,,,펌,목,파,,,4,3,4,1
홀샤바펌퓨,1388,688041,11,1190,652657,7,,서,펌,목,퓨,,0,2,2,1,1
홀샤바펌퓨,1392,688041,11,1149,675821,8,홀,샤,바,,퓨,0,4,2,,2,1
홀샤바펌퓨,1403,688041,11,1157,616014,9,홀,바,,목,퓨,1,2,,3,2,0
홀샤바펌퓨,1405,688041,11,1132,703891,8,홀,샤,바,,퓨,2,5,2,,3,1
홀샤바펌퓨,1410,688041,11,1206,576543,11,,샤,바,목,퓨,,4,2,3,2,1
홀샤바펌퓨,1418,688041,11,1157,536942,4,홀,바,펌,,퓨,1,3,3,,3,1
홀샤바펌퓨,1427,688041,11,1221,665265,9,홀,샤,바,,퓨,2,5,2,,2,0
홀샤바펌퓨,1433,688041,11,1228,728820,10,딸,바,,,목,5,2,,,2,1
홀샤바펌퓨,1439,688041,11,1164,667317,6,,딸,샤,바,퓨,,5,5,3,3,1
홀샤바펌퓨,1444,688041,11,1239,575708,9,홀,바,,,퓨,1,2,,,3,0
홀샤바펌퓨,1437,688041,11,1198,641950,7,바,,펌,목,퓨,2,,4,3,3,1
홀샤바펌퓨,1436,688041,11,1154,562241,5,,샤,바,퓨,파,,5,2,2,4,1
홀샤바펌퓨,1440,688041,11,1174,500520,7,홀,딸,바,,퓨,0,5,3,,2,1
홀샤바펌퓨,1449,688041,11,1176,738392,7,홀,바,,감,퓨,1,3,,5,3,1
홀샤바펌퓨,1454,688041,11,1233,661297,7,홀,딸,바,,퓨,0,5,3,,2,1
홀샤바펌퓨,1459,688041,11,1212,620804,6,홀,바,펌,,퓨,2,3,4,,2,1
홀샤바펌퓨,2468,688041,11,2252,635234,9,딸,바,,,퓨,5,2,,,2,1
홀샤바펌퓨,1471,688041,11,1267,641900,7,홀,,바,즐,퓨,1,,2,5,2,1
홀샤바펌퓨,1478,688041,11,1183,784220,10,바,블,,정,,2,5,,3,,1
홀샤바펌퓨,1482,688041,11,1478,706629,10,홀,,,펌,파,3,,,5,3,0
홀샤바펌퓨,1474,688041,11,1239,601829,5,,바,펌,목,퓨,,3,3,3,2,1
홀샤바펌퓨,1476,688041,11,1218,624775,7,,샤,바,펌,퓨,,4,3,2,2,1
홀샤바펌퓨,1470,688041,11,1248,624217,8,홀,바,,목,파,2,3,,4,2,1
홀샤바펌퓨,1475,688041,11,1216,579711,8,홀,바,펌,,퓨,1,2,3,,2,0
홀샤바펌퓨,1460,688041,11,1228,645663,8,홀,바,,,퓨,2,1,,,2,1
홀바펌목퓨,1461,593984,11,1185,693212,9,홀,,바,펌,퓨,3,,2,4,1,1
용바블퓨정,1465,678503,11,1209,657949,9,용,바,블,정,,5,3,5,4,,1
홀바펌목퓨,1470,591688,11,1273,679931,9,딸,바,펌,,퓨,5,2,4,,2,0
홀바펌목퓨,1458,591688,11,1190,596764,6,홀,바,,,파,2,1,,,5,0
홀바펌목퓨,1443,591688,11,1174,607230,9,홀,바,서,,파,1,2,0,,4,1
홀바펌목퓨,1447,591688,11,1443,784023,9,,바,서,,아,,3,2,,5,0
홀바펌목퓨,1443,591688,11,1480,644738,10,홀,바,,파,,1,3,,4,,0
홀샤바펌퓨,1433,688041,11,1184,654358,8,,샤,바,,퓨,,4,2,,3,0
홀바펌목퓨,1431,591700,11,1153,588177,7,홀,바,펌,,파,1,2,4,,5,1
용바블퓨정,1435,678515,11,1160,655330,9,홀,샤,바,,퓨,1,5,2,,2,1
홀샤바펌퓨,1439,688053,11,1155,578564,4,딸,바,,목,퓨,4,3,,2,3,1
홀바서목파,1413,656041,11,1264,604413,7,홀,,바,,퓨,0,,3,,2,1
홀샤바펌퓨,1431,689994,11,1420,730252,11,홀,바,,,퓨,1,3,,,2,1
홀샤바펌퓨,1442,689994,11,1420,715955,10,홀,바,,,파,1,3,,,4,0
홀바서목파,1460,656041,11,1455,701025,8,,바,,목,파,,3,,4,5,0
용바블퓨정,1453,680456,11,1449,637379,12,,바,서,,퓨,,3,0,,2,0
홀샤바펌퓨,2464,688041,11,2254,698747,7,,샤,,펌,퓨,,5,,4,2,1
홀샤바펌퓨,1038,688041,11,1038,722660,8,,바,펌,즐,퓨,,2,3,4,2,0
홀샤바펌퓨,1441,689994,11,1487,639038,10,,,펌,목,퓨,,,4,3,2,0
홀바서목파,1426,656041,11,1367,600087,11,,바,,목,퓨,,2,,4,2,1
홀바서목파,1435,656041,11,1521,664018,12,홀,바,서,,,1,2,0,,,0
홀샤바펌퓨,1429,689994,11,1222,568515,9,,바,펌,목,퓨,,2,3,4,2,1
홀샤바펌퓨,1449,689994,11,1437,779631,9,홀,바,,,퓨,2,2,,,3,0
홀바서목파,1445,656041,11,1357,728554,9,홀,바,,퓨,,0,3,,1,,1
